,DE ratio,Current,ROI,Revenue,Revenue,Revenue,EPS,EPS,EPS,BVPS,BVPS,BVPS,FCF,FCF,FCF,P/E Ratio
,D/E ratio,current,Mean,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR,mean
AAPL,True,True,True,0.197500211437958,0.0731487309737561,-0.0204107758052674,0.249570164278055,0.1302801866353058,-0.0033557046979865,0.0754612787519199,-0.0636862751312048,-0.2436149312377209,0.2064574425672674,0.0327063073198545,-0.0814865644640601,15.458863636363638
MSFT,True,True,True,0.079727381505755,0.0770326063766659,0.1402953968829285,0.1206333688904048,0.1398270352404456,1.375586854460094,0.1152374384981633,0.1095233472701966,0.1742260619150466,0.0916555989080205,0.0720661129793971,0.1862830212079871,22.238636363636367
AMZN,True,True,True,0.2760395447459118,0.2581345711013716,0.2045412582067698,0.2741737248893283,,0.1425024826216485,0.2774324536208192,0.4414171626731515,0.4443763139453398,0.2435571471156683,0.676662681993456,0.3311855670103092,273.21431818181816
GOOG,True,True,True,0.2120713835142911,0.1965096184871546,0.1830008989979461,0.1701960106547251,0.1903523029488192,0.1249427917620136,,0.1319837282532014,0.1133278996420852,0.1379531627788346,0.207503462806939,0.3565171688857744,31.381200000000003
FB,True,True,True,0.5699940142607858,0.4149294060879471,0.2661091013288441,0.5164255643907742,0.4235202764116248,-0.1505944517833554,,0.2292196014065042,0.2540983606557379,0.6750284150672226,0.3101553189696466,0.3810794973631095,91.06812499999998
TSLA,True,True,False,0.7144816913536332,0.5036044975483467,0.145240203159219,-0.0472413614973952,0.1583122345341616,-0.1403508771929824,0.4384043380725719,0.5471852928159611,1.329411764705882,,,-360.3333333333333,79.77449999999999
BRK.A,True,False,False,0.0851156303159943,0.055126168015203,0.0273526551725529,0.2537362945704695,0.3272740651176715,19.36809815950921,0.0730950159183434,0.0858732124582051,0.0474876711383935,0.0760672016660053,0.0618049913085398,-0.0067795127498578,18.95681818181818
V,True,True,True,0.1276523858941487,0.1258596203386366,0.1149012567324954,0.2507939503642848,0.1964062057571149,0.2010050251256281,0.0956358898096385,0.067469178843706,0.0626067159931702,0.471903330094054,0.125766279092645,-0.0159535302298944,29.566136363636364
JNJ,True,True,True,0.0285979678893835,0.0199790437214104,0.0058592074134908,0.0249568253799932,-0.0024682952750196,0.0035650623885916,0.0162212510925634,-0.0108274569828623,0.1066425666516042,0.0490628782826174,0.03386335594482,0.0666697340572375,41.98045454545455
WMT,True,False,True,0.0243894227384848,0.0155142317477154,0.0281047201619688,-0.0397354992077819,-0.1426903279029103,-0.3109756097560976,0.0458450703072248,0.0232476282329552,0.0575858250276855,0.0378732303479314,0.1052701748200204,-0.0394342048864123,17.720000000000002
JPM,False,False,False,0.0210568054319086,0.0669409446302597,0.0949642500192204,0.1684459689200828,0.1517224241187758,0.1911111111111112,0.0722324616818945,0.0590809858231895,0.0552918841955385,-0.2600062723059705,-0.3023878668154286,-0.5738352012405723,10.13931818181818
MA,True,True,True,0.1271882704627704,0.1232755984636726,0.1292976588628762,0.2163547290790615,0.2069568995698496,0.4178571428571429,0.0469511521333845,0.0094620924210395,0.1906693711967546,0.1966653067315837,0.1939249213042253,0.3035495716034271,29.212045454545446
PG,True,False,True,-0.0124195985436371,-0.0187459803943528,0.0127483840076609,-0.1034125741352048,-0.1863486806929719,-0.6103542234332425,-0.0141041242825561,-0.0327600714965164,0.0398089171974522,-0.0038164475222566,0.0283291501463169,0.0761888081268062,22.73818181818182
UNH,True,False,True,0.1076143795096873,0.1316545991096187,0.0703125345308446,0.1602995345251201,0.2024700465816338,0.1755537325676786,0.1190581407086619,0.1560071825051929,0.176586325627152,0.1286722521891474,0.2022560610113279,0.2008791208791209,15.031136363636366
DIS,True,True,True,0.0677157838477864,0.0735529837898389,0.1711646532287916,0.1419985202087899,0.0928277037130702,-0.2057416267942583,0.0910188510554783,0.1026126621556675,-0.0599393019726858,-0.110315873334336,-0.2973476196369725,-0.8872838250254323,15.745227272727275
NVDA,True,True,True,0.130867905321159,0.2318727893698502,0.206094296891085,,0.5504449889846812,0.3755186721991701,0.167078710827714,0.2378184879530163,0.3288155568650561,,0.3903297034650463,0.0796976983854345,32.03066666666666
HD,False,True,True,0.0426109628539501,0.0654409644422533,0.072336081820344,0.2192725717153594,0.2094418688250994,0.3347050754458163,,,-0.6415094339622642,0.1075211990363904,0.1093252913464262,0.0440035359984285,18.761777777777773
PYPL,True,True,True,,0.1723526047616701,0.150216814445667,,0.43515327266866,0.2105263157894736,,0.078799960383413,0.126068376068376,,0.1752308294765749,-0.169204374865966,52.52578947368421
BAC,False,False,False,-0.0277131581244626,0.0324431944772591,0.0361407317540387,,0.456185427731224,0.053639846743295,0.0305666203850363,0.0481161932831479,0.0500676589986468,-0.0698891112209172,0.1493950466278168,0.5631831983805669,12.966818181818184
VZ,True,True,True,0.0203492345438254,0.0074259328838626,0.0076797872584306,0.1045679829619083,0.1395346027903701,0.2367021276595746,-0.0602692787605445,0.3512122244703359,0.1028806584362138,0.0206301574486105,0.0578846073012084,0.0071262937616649,22.76454545454546
ADBE,True,True,True,0.1425781929405292,0.2191905935603864,0.2370985603543742,0.2344765343577637,0.6247070917972446,0.1538461538461537,0.0942879506781153,0.1220369086846022,0.1553030303030302,0.149687912065046,0.2873222052644177,0.0703212826857095,58.112
CMCSA,True,False,True,0.1178528580721933,0.096359411250021,0.1527400086766059,0.1621029097608239,0.120813338093886,0.1185770750988144,0.0930799763848677,0.1260907451938395,0.1,0.1093261563420833,0.0897722952241837,0.0469827586206896,14.932954545454544
NFLX,True,True,True,0.2828290552386252,0.2963712926333472,0.2761808281625935,0.308817827825756,0.4612067590069342,0.5410447761194028,0.4631966151917777,0.3577019835665285,0.4936143039591316,,1.2602073247620609,0.1001706119960903,153.19477272727275
KO,True,True,True,0.0186127790611083,-0.0412292721712883,0.0864723032069971,0.0348211611715898,0.0528586573515141,0.3799999999999999,-0.0249556169289164,-0.048034623340969,-0.0207039337474119,0.0408216302549691,0.0218643246398424,0.4849059585901691,27.913636363636357
NKE,True,True,True,0.0738923580642632,0.0706986948972452,0.074731433909388,0.1260004795638838,0.1081603721999,1.1282051282051286,0.0155057613533531,-0.0484454973502701,-0.0016949152542373,0.1380272058409746,0.1750003190289395,0.2182327476445122,30.824888888888896
MRK,True,True,True,0.0549752584329799,0.0209036688387815,0.1074856953705016,-0.0386364479825072,-0.0131159879061059,0.642241379310345,-0.0476376884836757,-0.066253147466418,0.0956439393939394,0.1783606150982231,0.0835817555337663,0.1998314674371013,27.301363636363643
PEP,False,False,True,0.0450358342880756,0.0014295556501993,0.0386631818252114,0.0326810302162192,0.0401957948049986,-0.4077448747152619,-0.0259790517654048,0.0113641632971051,-0.0353287536800784,0.01687716612916,-0.0636439808591035,-0.1085048667624062,19.04136363636363
T,True,False,False,0.0399104061101185,0.0646818681896834,0.0611223031694347,-0.0080933673187725,0.0879477135618163,-0.3368421052631579,0.0362895842759065,0.0652574529385221,0.0289364900413378,0.0505605384919956,0.2358781460449879,0.2796795657503064,13.97045454545455
PFE,True,True,True,0.0049250234665567,0.0085025020881679,-0.0353607843868249,0.0884229198901702,0.151114992821512,0.543010752688172,0.0070513390517321,0.0163817356790612,-0.0025380710659899,-0.0382722771424436,-0.0810129573412339,-0.2446862531737396,14.273863636363636
INTC,True,True,True,0.0743555381557274,0.0519340952461806,0.0157661472448058,0.1985413397632278,0.1531393316479683,0.0513392857142855,0.0784168337205426,0.085488147650762,0.0656121851200937,0.0978828979501453,0.104242983585161,0.188127148972002,11.52977272727273
CRM,True,True,False,0.2855967837584159,0.2668128928430382,0.2601518026565466,0.3185887096615076,,1.9183673469387756,0.3313225563812774,0.4385942041923614,0.9232167196728758,0.3246535852183647,0.3721002801760136,0.2717785843920144,361.0395555555555
ABT,True,True,False,0.0036419873359039,0.0952087144073541,0.043364510432337,-0.0566256029560424,0.0669306475198763,0.5488721804511278,0.025211937155942,0.0462858437562971,-0.0154610712313639,-0.0313649469450244,0.116030492994644,-0.0831634732980024,39.227045454545454
ORCL,False,True,True,0.0544361203143675,0.0063512074371083,0.0031231749739735,0.1054344505934885,0.0452878405868215,2.494117647058824,-0.0634229756598462,-0.212585768715712,-0.4176776429809359,0.0525268668234255,-0.0210929990216279,-0.0556043956043955,19.62644444444444
ABBV,False,False,True,0.0887506497790286,0.1075619040690449,0.0156626873874148,inf,0.3685108578372633,0.4426229508196722,,0.2386605001886876,-2.5575539568345325,0.0971240897837022,0.3417481114243492,-0.0013292673391195,21.28482758620689
CSCO,True,True,True,0.0369287499080115,0.0194327111242078,0.0521792012973849,0.0953303483016483,0.1186412959731439,129.5,0.0134588682599521,-0.0528233402077619,0.1329113924050631,0.0532870399374694,0.0576994467062166,0.1592583973314716,27.34088888888888
TMO,True,True,False,0.0992826175353753,0.0862381463109411,0.0486082601198785,0.1639044477987454,0.1425354544521972,0.2665745856353589,0.0756118863973835,0.0897891391400649,0.0968446933479032,0.1073615973979391,0.1274463313068476,0.0646675358539765,27.484090909090916
AVGO,True,True,True,0.3129908164049333,0.395548473913168,0.0838929393706831,,0.4538351195105448,-0.7739099859353025,0.2644768544955482,0.302239564115651,0.0792152507865999,0.6058822883563342,0.6494700447784565,0.1024280999528524,32.92813953488372
XOM,True,False,True,-0.015770817426889,-0.0844917365588011,-0.0870880597632075,-0.0167915088532754,-0.1506139245761247,-0.3114754098360656,0.0387221501495516,0.0054948363756506,-0.0628890319811119,-0.0104308362260749,-0.1513343726524884,-0.6742700729927007,15.670454545454543
ACN,True,True,True,0.0643120372782279,0.0627640735477736,0.054204376356939,0.1167315828152575,0.1024220112916276,0.1608832807570979,0.1922691745180533,0.2193046399700566,0.1832618025751073,0.0751217328962423,0.1371795891701392,0.1147369394359685,19.546
QCOM,True,True,True,0.0885874732327529,-0.0173063790829817,0.0735040467029322,0.1421866619690153,-0.0504271275318987,-2.058997050147493,-0.0841929110358914,-0.2358488715544298,0.2517482517482516,0.0028640671494626,-0.0314270690825674,-0.4641812865497076,16.594545454545457
COST,True,True,True,0.0789505883806218,0.0627496864257703,0.0785938294626207,0.1283096679104753,0.1217741265362506,0.1650211565585331,0.0533411654074522,0.1135316236200529,0.1957686882933709,0.1474064850622918,0.1102016957659981,0.1971479500891266,25.03577777777778
CVX,True,True,True,-0.0156995879995324,-0.0712001624882902,-0.1191722927275023,-0.1152533164209224,-0.3140435356710839,-0.8010335917312661,0.0328922768910706,-0.0312155001561122,-0.1477642521393275,,,-0.2156186853678831,15.363181818181818
LLY,False,True,True,0.0021947202397749,0.026163935887741,0.0384776438840552,0.0847772133835396,0.3186191529540172,1.8402555910543132,-0.0697796777839752,-0.1761017868583875,0.445983379501385,0.005822953541575,0.0280729998672599,-0.1185006606550916,24.296136363636364
MCD,False,True,True,-0.0075873637719419,-0.0514029442779725,0.0024732461355529,0.0672555933440826,0.1033056338804951,0.0450928381962865,,,-0.0043782837127847,0.0446456302780877,0.0678875913282555,0.3407214849272588,18.926590909090905
DHR,True,True,True,0.0546850645729755,0.0683867826429425,0.0505601501554342,0.0887818987478559,0.0221383419545468,0.0828877005347592,0.1025465860227128,0.0957707919195762,0.1566421462570315,0.0739903814378877,0.002170936216399,-0.0336449140733859,21.22613636363636
MDT,True,True,True,0.076660451417174,0.12436369893395,0.0201649250492437,0.0636375367876218,0.024588523989719,0.5022026431718063,0.1075499580400254,0.0010150678028584,-0.0029208709506106,0.0568037119938686,0.0517727300676738,0.6241703539823009,22.775555555555563
NEE,True,False,False,0.0207212709784254,0.0244277284506666,0.1480839361511328,0.0695883244034769,0.0674185327579299,-0.4409221902017292,0.0975540975376332,0.1163022872459773,0.0447906523855892,0.0131878924256141,0.0776955605411455,-1.781430475344291,16.91977272727273
TXN,True,True,True,0.0326877151628972,0.019720333651487,-0.0887607704004054,0.1637597825080674,0.1531336157652278,-0.0626118067978532,0.0067488529931598,-0.0149604082856137,-0.056191467221644,0.1192718238244339,0.0888190565706263,-0.0387341354870611,17.993409090909093
HON,True,True,True,0.0205543135717769,-0.0185219968004256,-0.1218362757762786,0.1516067810179944,0.0955034695723482,-0.0634743875278396,0.0687811833840104,0.0236598232948479,0.0187353629976581,0.0612138129848207,0.0878809985764847,0.0853940579967977,20.345454545454547
UPS,False,True,True,0.0504402638818881,0.0493594234658278,0.0310738787381195,0.1005669906986683,0.092721306512993,-0.072595281306715,-0.0279832628656839,0.2426823109720313,-0.0015384615384614,-0.0465418625477046,-0.0760292290624297,-0.6405259087393658,23.831818181818186
